Product,Description,Price,Food Type,Vegan,Spicy
Pastry Combo,"Combination of homemade succulent meatpie, puff puff, scotch egg and vegetable spring rolls.",£9.95,Starters,,
Prawn Tempura,Crispy battered prawn served with oyster sauce orsweet chilli sauce,£7.99,Starters,,Mild
Vegetable Spring Rolls,Crispy fried rolls served with sweet chilli sauce,£7.99,Starters,Vegan,Mild
Chicken Spring Rolls,Crispy fried rolls served with sweet chilli sauce,£8.99,Starters,,Mild
Puff Puff,Freshly made puff puff,£2.50,Starters,Vegan,
Tozo Suya,Grilled spicy meat skewer.,£15.99,Starters,,Extra-Spicy
Lamb Suya,Grilled spicy lamb skewer.,£15.00,Starters,,Extra-Spicy
Chicken Suya,Grilled spicy chicken skewer.,£15.00,Starters,,Extra-Spicy
Spicy Diced Beef,Beef mixed in spices.,£15.00,Starters,,Spicy
Asun,Grilled chopped goat meat cooked in spicy hot pepper sauce.,£12.00,Starters,,Spicy
Big Shelled Prawns Marinated,Cooked in mixed herbs and spices,£22.99,Starters,,Spicy
Pan Fried Prawns,"Large peeled prawns, lightly fried in mixed sauce.",£18.00,Starters,,Spicy
Peppered Ponmo,Diced authentic cow skin (ponmo) cooked with mixedpeppers and herbs.,£15.00,Starters,,Spicy
Nkwobi,Nigerian delicacy cocked with crowfoot and palm oil.,£12.00,Starters,,Spicy
Isiewu,Nigerian delicacy cocked with boneless goat head and palm oil sauce.,£22.00,Starters,,Spicy
Fried Plantain,,£5.00,Starters,,
Snail,"Pan fried snail, seasoned with assorted peppers and spices",£19.99,Starters,,Spicy
Gizzdodo.,A mix of gizzard and plantain cooked in the authentic Nigerian way.,£15.00,Starters,,Spicy
Small Chops,"A mixture of finger licking puff puff, spring rolls, prawns and Chicken wings.",£15.00,Starters,,Spicy
Small Chops Vegetarian,"A mixture of finger licking puff puff, spring rolls and diced peppered plantain served with peanut or chin chin.",£15.00,Starters,,
Assorted Suya,"Combination of Grilled kidney, beef and gizzard  coated in yaji spices.",£15.00,Starters,,Spicy
Chicken Wings Suya,Charcoal grilled succulent marinated with yaji spice wings served with fresh tomatoes and onions.,£10.00,Starters,,Spicy
Whole Grilled Chicken,A whole charcoal grilled chicken marinated in yajispices and some herbs,£22.99,Starters,,Spicy
Beef Suya,Grilled Spicy meat on a skewer,£15.99,Starters,,Spicy
Alata Sue Sue,Finely seasoned authentic fried Goatmeat cooked inspecial peppered sauced adorned with onions and mixed pepper sauce. Highly recommended by our Chef,£19.99,Starters,,Extra-Spicy
Guinea Fowl Whole,"A whole Guinea fowl chopped into chunk, saute in pepper sauce and mixed spices, served with either yam or plantain. It takes about 45 minutes to prepare.",£35.00,Specials,,Spicy
Spaghetti Delight,"Spaghetti delight: pasta cooked in mixed pepper sauce and prawn  Options; served with beef, fish,  or assorted, lobster, prawns, eggs.",£19.99,Specials,,Mild
Plain Spaghetti,Plain spaghetti served with mackerel sauce,£16.99,Specials,,Mild
Boiled Yam Served W Fried Egg Or Sauce,A freshly prepared yam served with mackerel sauceor fried egg cooked in mixed vegetables sauce,£15.00,Specials,,Mild
Naija Indomie,"Naija indomie, indomie noodles cooked with peppersauce and mixed vegetables served with plain Boiled egg or fried fish or peppered turkey or prawn.",£12.00,Specials,,Mild
Rice And Beans Mix,A combination of white rice and red honey beans cooked together,£18.99,Specials,,Mild
Rice And  Beans,White rice and beans cooked together,£20.00,Specials,,Spicy
Grilled Croaker Fish Charcoal,"A whole grilled fish, spiced with ginger and garlic sauce served with salad, plantain, and yam.  Please note that this order may take up to 1 hour to make because we freshly prepare this item for your delicacy. You will love it trust us.",£30.00,Grills,,Spicy
Grilled Tilapia Fish,"A whole grilled fish, spiced with ginger and garlic sauce served with salad, plantain, and Yam.  Please note that this order may take up to 1 hour to make because we freshly prepare this item for your delicacy. You will love it trust us.",£40.00,Grills,,Spicy
Guinea Fowl,Half or Full Charcoaled grilled Guinea fowl chopped into pieces cooked in assorted pepper sauce. Please note that this order may take up to 1 hour to make because we freshly prepare this item for your delicacy. You will love it trust us.,£35.00,Grills,,Spicy
Bobby Special,Combination of assorted meat cocked in mixed peppers. *£30 with fried yam and plantain as sides. Please note that this order may take up to 1 hour to make because we freshly prepare this item for your delicacy. You will love it trust us.,£26.00,Grills,,Spicy
Grilled Croacker Fish,"Charcoal whole Grilled croacker seasoned and saucewith our signature sauce, served with salad, fried yam, and fried plantain. Please note that this order may take up to 1 hour to make because we freshly prepare this item for your delicacy. You will love it trust us.",£30.00,Grills,,Spicy
Assorted Meat Pepper Soup,Spicy Cooked assorted meat in organic herbs.,£15.00,Pepper soup,,Spicy
Tilapia Pepper Soup,Richly prepared with special organic homemade spices. Please note that this order may take up to 1 hour to make because we freshly prepare this item for your delicacy. You will love it trust us.,£25.00,Pepper soup,,Spicy
Goat Meat Pepper Soup,Spicy goat meat cooked in organic herbs.,£18.00,Pepper soup,,Spicy
Assorted Stew,"A portion of soup/stew Served with a piece of beef, cowfoot and shaki",£8.00,Pepper soup,,Mild
Catfish Pepper Soup,Richly prepared with special organic homemade spices. Please note that this order may take up to 1 hour to make because we freshly prepare this item for your delicacy. You will love it trust us.,£40.00,Pepper soup,,Spicy
Mashed Beans,"Cooked in tomato sauce, sweet corn, served with plantain and a choice of meat or fish.",£16.00,Beans dishes,,Spicy
Togolese Beans,"Mashed beans porridge, served with a spicy sauce,plantain and a choice of meat or fish.",£16.00,Beans dishes,,Spicy
Moi Moi,"Steamed bean pudding made from a mixture of washedand peeled black eyed peas, onions and fresh ground peppers.",£4.00,Beans dishes,,Spicy
Designer Beans,"Authentic sweet beans Mashed together to create asweet taste served with our special sauce, ponmo( cowskin) and eja kika( round fish) and paired with Diced plantain",£19.00,Beans dishes,,Mild
Fisherman Soup,A delicacy cooked with fresh fish and other seafood with some added authentic African spices. This soup is also called rich man’s soup,£45.00,Main dishes,,Spicy
Ofe Owerri (Jewel Of South East),"A traditional African soup made with varieties  such as vegetables, dry fish, crayfish and authentic African spices to bring out a very delicious taste, it is also called the most expensive African soup.",£19.00,Main dishes,,Mild
Oha Soup,"A very traditional soup cooked with Oha leaves, itis also called ORA soup. With dried fish and traditional seasoning.",£18.99,Main dishes,,Spicy
Okro Only,,£5.00,Main dishes,,
Egusi Soup,"Beautifully prepared with melon seed, palm oil andspinach.",£16.00,Main dishes,,Spicy
Efo Riro,"Heavenly taste of fresh vegetables, smoked prawns,blended with peppers and palm oil.",£18.00,Main dishes,,Spicy
Okro And Stew,Freshly hand picked okro and blended tomato sauce.,£15.00,Main dishes,,Spicy
Seafood Okro,Freshly hand picked OKRO mixed with seafood.,£35.00,Main dishes,,Spicy
Mixed Okro,A mix of freshly picked okra blended with ogbono.,£16.00,Main dishes,,Spicy
Edikaikong Soup,Hand picked vegetables with bits of organic spices.,£18.00,Main dishes,,Spicy
Banga Soup,Palm nut soup with bits of organic spices.  (Withstarch £22.00),£18.99,Main dishes,,Spicy
Ogbono Soup,Grounded dry ogbobo seeds with palm oil.,£16.00,Main dishes,,Spicy
Bitter Leaf Soup,Hand picked fresh vegetables stirred in palm oil.,£16.00,Main dishes,,Spicy
Concorting,"The best of egusi, ogbono mixed with okro.",£16.00,Main dishes,,Spicy
Affang Soup,Hand picked fresh vegetables stirred in palm oil.,£18.00,Main dishes,,Spicy
Eru Soup,Hand picked fresh vegetables stirred in palm oil.,£15.00,Main dishes,,Spicy
Ayamase,Blended green peppers with bits of organic spices.,£10.00,Main dishes,,Spicy
Nsala Soup,Made with small pieces of yam and utazi leaves. (*£18.00 when served with dried fish.),£18.00,Main dishes,,Spicy
Abula,"A colourful mixture of gbegiri, ewedu, served withamala.",£16.00,Main dishes,,Spicy
Ayamase Sauce,,£15.00,Rice dishes,,Spicy
Native Jollof,"An authentic rice cooked in assorted palmoil saucegarnished with dried prawn, dried fish, stockfish, ponmo amongst other ingredients",£20.00,Rice dishes,,Spicy
Jollof Only,,£9.00,Rice dishes,,Mild
Fried Rice Only,,£10.00,Rice dishes,,Mild
Rice And Beans,"Plain boiled rice and beans cooked together servedwith  either mackerel sauce, tomatoes sauce, ofada sauce or ayamashe",£20.00,Rice dishes,,Mild
Ofada Sauce Only,,£12.00,Rice dishes,,Spicy
Jollof Rice,"Cooked in tomato sauce and organic herbs, served with plantain, salad and a choice of beef, fish, turkey or chicken.",£15.00,Rice dishes,,Spicy
Fried Rice,"Rice sauté in mixed vegetables, served with plantain, salad and a choice of beef, fish, turkey or chicken.",£15.00,Rice dishes,,Spicy
Oriental Fried Rice,Served with prawns in black bean sauce and crispychicken wings.,£20.00,Rice dishes,,Spicy
Half And Half,"Mix of jollof rice and fried rice served with choice of plantain, salad and a £18.00 choice of beef, fish, turkey or chicken.",£20.00,Rice dishes,,Mild
White Rice,"Steamed rice served with tomato sauce, and a choice of protein and plantain",£15.00,Rice dishes,,Mild
Special Fried Rice,"Fried rice mix, a selection of long grain cooked with diced vegetables diced fried liver and prawns with a dash of soy sauce .",£19.99,Rice dishes,,Mild
Ofada Rice,Authentic Nigerian Cooked rice served with local ofada sauce or ayamase. (* £18.00 when served with ofada sauce.),£18.00,Rice dishes,,Spicy
Rice Only,,£5.00,Rice dishes,Vegan,
Boiled Yam And Fried Egg,"Freshly boiled yam served with fried egg, egg is is fried with fresh tomatoes, mixed peppers, and onion",£15.99,Yam dishes,,Mild
Boiled Yam And Mackrel Sauce( Titus Sauc,"Freshly boiled yam served with mackerel sauce, mackerel is cooked in lightly tomatoes sauce garnished with carefully selected mackerel.",£15.00,Yam dishes,,Spicy
Asaro Yam Porridge,Mashed yam Cooked in pepper sauce.,£16.00,Yam dishes,,Spicy
Fried Yam And Sauce,Yam served with sauce.,£6.50,Yam dishes,,Spicy
Boiled Yam,"Also known as nkodo, served with pepper soup.",£22.99,Yam dishes,,Spicy
Chips And Chicken Wings For Kids,"Served with Chicken Wings, Salad and sauce.",£8.00,Kids menu,,Mild
Jollof Rice For Kids,Served with crispy chicken wings and salad,£10.00,Kids menu,,Mild
