User Name,Post
Sonia Pervaiz,"Hello Everyone, I am looking for a driver to drive car on careem/indrive. If you know anyone, feel free to share the contact details.ThanksRegards."
Shah Zeb,"I am looking for a "" 𝐃𝐫𝐢𝐯𝐞𝐫 "" 𝐍𝐨𝐭𝐞:  Should be a resident of twin cities. ** Preferably 45+ years of age. Family-oriented driver with good manners, behavior & etiquettes. 𝐋𝐨𝐜𝐚𝐭𝐢𝐨𝐧:  Bahria Enclave, Islamabad> Free Lunch/Dinner> Free Accommodation𝐒𝐚𝐥𝐚𝐫𝐲:  25K (Negotiable). To be reviewed after 3 months.DM the contact details as it is urgently required."
Shahpara Rizvi,"I am looking for some motivational speaker to voluntarialy lecture support staff including peons, cleaners and drivers in an organization.Pls inbox for details.Update: Location is Karachi.I have received several messages and we have a good pool now will coordinate soon.Thank you all."
Unzila Saleem,"I am looking for a job fromLast 6months and its exhausting now. Companies take interviews which cost travel expense and they offer 20-35K on such good position, which inculde no travelling expense I mean what are we earning for? Like for van drivers? Because almost 15-17K van charge from north to clifton or shahrah e faisal.its so difficult to survive in pakistan already. Everything here is not effecting our mentalHealth 🤷🏼‍♀️"
Muhammad Ehsan Ullah,"Are you looking for IT Support/Helpdesk position?I am looking for some entry-level Helpdesk Technicians/Engineers for my client in Qatar. Candidate has to have at least 6 months to 1 year of experience in same.Arabic speakers are preferred.QID is required and a Driver's License is preferred.The salary will be 4,000 - 5,000 QAR per month.Sponsorship change is a must!Please get in touch with me or share your CV with me at hiring@iasmktg.com and hr.imsqa@gmail.com. Do not forget to mention the subject as position."
Omair Javaid,I am looking for software engineer (contractor) with proven windows device driver and win32 api experience. (6 months contract project based full time)
Huzaifa Sarwar,"🌟 Open to Work 🌟Supply Chain Management Professional | Fleet and Logistics ExpertHello, LinkedIn community!I am actively seeking new opportunities in supply chain management, with a specialization in fleet and logistics. With a proven track record of success, I excel in SAP S4 HANA, operations, and customer management. I bring strong communication skills, efficient documentation and reporting abilities, and a knack for providing exceptional administrative support.Here are some highlights of my achievements:- Successfully managed fleet operations, optimizing the utilization of Tripping Trailers, Half Bodies, and Flat Bed trucks to ensure profitability.- Led offloading/loading operations, resolved issues promptly, and implemented effective vehicle maintenance practices.- Developed comprehensive daily activity reports, efficiently scheduled fleet vehicles and drivers, and maintained accurate records.- Established and maintained excellent customer relationships, achieving net revenue growth from key accounts.- Ensured 100% compliance with internal/external audits, HSE instructions/policies, and business ethics.If you are looking for a highly skilled supply chain professional with expertise in fleet and logistics management, I would be thrilled to discuss potential opportunities. Please feel free to reach out to me via email at Huzaifasarwar101@gmail.com or through LinkedIn messaging.Thank you for your time, and I look forward to connecting with you!#OpenToWork #SupplyChainManagement #FleetManagement #LogisticsExpert #SupplyChain #LogisticsManagement #OperationsManagement #FleetOperations #TransportationManagement #SAP #S4HANA #CustomerManagement #AdministrativeSupport #JobSeeker #Hiring #CareerOpportunities #ProfessionalNetwork #Networking #JobSearch #JobHunt #SupplyChainProfessional #LogisticsExpert #OpenForOpportunities #Resume #JobSeeking #NewJob #SupplyChainJobs #LogisticsCareers"
Fayyaz Ahmed,"I am looking for House Driver for day time 7 am to 4 pm in Township, Lahore. Honest and experienced contact me for details 0306-4094477"
Syed Muhammad Abdullah,"Dubai Hiring ALERT!!I am looking for an IT and Network Engineer for one of my clients in Dubai. The task is for Smart Hand Support. It's an hourly-based job.Company name: PERNOD RICARD HONG KONG LIMITEDREQUIREMENTS1.  Engineer should be able to speak English and the local language.2.  Engineer must carry an ID card and should be in formal attire while on site.3. The engineer should be a CCNP or equivalent4. Engineer should be aware of basic router configuration.5.  Engineer should familiarize himself with the Method of Procedure (MOP) shipped along with the router package.6.  Engineer must carry a Windows OS-installed laptop (No MacBook or Virtual Machine) having a serial interface, Internet dongle, console cable, straight cable, and cross cable along with CAT5 UTP cables.7. We need Team Viewer version 15 and IPERF installed in FE’s laptop.8. FE Laptop OS should either be Windows 10 Professional or Enterprise version.9.      Windows OS on the FE Laptop should have GigEthernet port and required hardware to support the tests.10.  Laptop should support VLAN configuration and input VLAN values11. Engineer should have USB to Com port cable.12.  All required software and drivers should be up-to-date in the laptop.13. The engineer must carry along a labeling machine.14. Microsoft Network Monitor & Realtek diagnostic utility should be installed in FE’s laptop.15. Requirements for the post-installation photographs:- Carrier’s device and its labeling.- Complete front view of the rack in which the NTTGN and carrier's devices have been installed.- Complete rear view of the rack in which the NTTGN and carrier's devices have been installed.- NTTGN Router’s labeling.- NTTGN Modem’s labeling.- View of how the connections have been made between all the devices with clear markings in the photograph of how the connections/cables are laid.Address: IDC BROOKFIELD PLACE, Al Mustaqbal Street, Dubai International, Financial Centre,42nd floor, UAEKindly send your Resume to asmapervaiz17@gmail.com"
Saima Tahir,"Posting on behalf of Friend : I am looking to hire Business development Executive to actively seek out new business opportunities through Cold Calling.Requirements:Experience:  1 year  to 3 yearQualification: Graduate/A-LevelsMust be proficient in written and spoken English.Night ShiftSalary 40k-100k depending on experience ( uncapped Commission ) Hiring on urgent basisProven experience as a sales person for USA campaign, with a track record of meeting or exceeding sales targets.Excellent communication and interpersonal skills, with the ability to build strong relationships with clients and internal stakeholders.Strong negotiation and problem-solving skills.Ability to work independently and as part of a team, with a results-driven mindset.Bachelor's degree in business, marketing, or a related field is preferred.If you are a motivated and goal-oriented individual with a passion for sales and the trucking industry, we encourage you to apply for this exciting opportunity to drive revenue growth and make a real impact on our business.Interested one kindly send the CV at hr@greyhouse.club and don't forget to mention the Position in the Subject Line #hiring #hireme #wearelooking #wearehiring #jobhunt #jobalert #recruiter #jobfinder #jobseeker #dispatcher #truckdriver #dispatchers #transportation #driver #trucking #sales #truckingindustry #trucking #trucks #truckingjobs #driving #life #jobsavailable #jobsearch #lahorejobs #humanresource #graphicdesign #jobs #socialmedia #sales #creative #seo #businessdevelopment #datascientist #finance #wearehiring #wearehiringnow #jobsearch #lookingforjob #Jobly #recruitmentagency #salescareers #staffingagencies #careeres #quotes #networking #debvelopers #marketer #webdesigner #recruiting #letsconnect #sale #saleexecutives #letsconnect"
