Title,Description,Vacancies,Location,Min Education,Min Experience,Apply Before,URL
Telesales Representative,"Making outbound calls to potential customers and qualifying leads to identify sales opportunities.Engaging with customers and building rapport by understanding their needs and preferences, and demonstrating how the company's products or services can meet their requirements.Providing information about the company's products or services, features, pricing, and benefits, and addressing customer questions or concerns to promote sales.Demonstrating and delivering persuasive sales pitches to encourage customers to make purchases or take action, such as scheduling a meeting or signing up for a trial.Maintaining accurate and up-to-date customer and sales information in the company's CRM system, and updating customer profiles and interactions on a regular basis.Meeting or exceeding daily, weekly, and monthly sales targets and goals, and reporting progress to sales managers or team leaders.Following up with customers and leads to provide additional information or support, and identifying opportunities for cross-selling or upselling.",1 Post,"Karachi, Pakistan",Bachelors,1 Year (Must have Telesale Experience),7-Jul-23,https://www.rozee.pk/chisty-law-chambers-telesales-representative-karachi-jobs-1387663?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1387663&utm_campaign=ROZEE.PK_job_search
Customer Relationship Officer,"As we are a new start-up in Pakistan, we provide support services to our customers in our office in Pakistan Islamabad. Every day, our team of experienced employees call our customers in the relevant language and provide support services in line with their needs.What we want to see in you:Time ManagementPriority SettingSelf-MotivatedProfessional ApproachEmpathy and hospitalityResponsibilities:Effectively communicate with customers to understand their needs and demandsAnswer customer support queries and calls in a professional mannerResearch required information using available resourcesAccurately manage and resolve customer issuesRoute calls to the appropriate resourceAdhere to standard operating procedures required by the process and organizationJob Requirements:O Levels/Matric or aboveExcellent English Written and Verbal CommunicationAble to use computer and office programs.Strong interpersonal skills. Sales representatives need a mix of both verbal communication and listening skillsNeutral accentBenefits of being with usAttractive Package with Incentives and BonusesFree Lunch / Tea / Coffee / RefreshmentFuel allowancesLife Insurance(After probation)",5 Posts,"Islamabad, Pakistan",Bachelors,Less than 1 Year,7-Jul-23,https://www.rozee.pk/smart-resource-smc-pvt-ltd-customer-relationship-officer-islamabad-jobs-1387949?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1387949&utm_campaign=ROZEE.PK_job_search
SEO Specialist,"Zoom Digital is looking for an SEO Specialist having at least 4 years of SEO experience and excellent communication skills. Responsible for managing all SEO activities including technical SEO findings, On page SEO optimization, acquiring high-quality industry-relevant backlinks, and keyword strategy to increase keyword rankings on Google. Understanding of search engine algorithms and result-proven ranking methods Preparing detailed content marketing strategy, executing and reporting Technical auditing of the website and finding loopholes for website improvement Setting measurable goals for tracking improvement in optimization efforts Collaborate with other members of the team for implementing SEO efforts for better results Proficient with Google Analytics, Google search console, and tag manager. Should have expertise in acquiring high-quality backlinks Proficiency in outreaching webmasters for contextual backlinks Local pack 3 optimization Familiar with WordPress and other CMS Should have a good command on English writing",1 Post,"Lahore, Pakistan",Bachelors,3 Years,6-Jul-23,https://www.rozee.pk/zoom-digital-seo-specialist-lahore-jobs-1387481?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1387481&utm_campaign=ROZEE.PK_job_search
Sales Representative,"The ideal Sales Representative candidate should have excellent communication, interpersonal, and negotiation skills.A Sales Representative is responsible for generating sales by identifying, developing, and selling products or services to new and existing customers.The following are typical duties and responsibilities for a Sales Representative:Identify and develop new sales opportunities through prospecting, cold calling and other lead-generation methods.Build and maintain strong relationships with customers to understand their needs and preferences",5 Posts,"Lahore, Pakistan",Bachelors,Fresh - 1 Year,7-Jul-23,https://www.rozee.pk/quality-dispatch-services-sales-representative-lahore-jobs-1387915?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1387915&utm_campaign=ROZEE.PK_job_search
Forklifter Operator,"Operating lifter with fork and carton clamp extensions.Loading and off-loading of machinery, cartons, raw materials and other similar objects.Compliance with safety measures.",3 Posts,"Mardan, Peshawar, Rawalpindi, Akhora Khattak, Attock, Hari Pur, Nowshera, FR Peshawar / Kohat, Pakistan",Non-Matriculation,3 Years,7-Jul-23,https://www.rozee.pk/frontier-platinum-group-forklifter-operator-mardan-peshawar-rawalpindi-akhora-khattak-attock-hari-pur-nowshera-fr-peshawar-kohat-jobs-1387997?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1387997&utm_campaign=ROZEE.PK_job_search
SEO Specialist,"We are looking for an experienced SEO Specialist to optimize our online presence and drive organic traffic to our website.As an SEO Specialist, you will be responsible for developing and implementing effective strategies to improve our search engine rankings and increase visibility across relevant platforms.",1 Post,"Los Angeles, USA",Intermediate/A-Level,3 Years,23-Jun-23,https://www.rozee.pk/stylo-jeans-seo-specialist-los-angeles-jobs-1383725
Service Desk Analyst - L1,"Major Responsibilities: Responsible for handling calls, updating customers regarding queries, leads/tickets handling, call backs where needed and work on different assigned projects.Managing incidents through their entire lifecycle from the first point of contact through to resolution, proactively keeping the customer informed of progress.Following standard procedures for proper escalation of unresolved issues to the appropriate internal teamsHandle feedback campaignsCorrectly logging incidents and problems, categorizing and prioritizing them in line with team procedures.Conducting full and thorough diagnostics with end-users to enable the first point of contact incident and problem resolution.Sharing knowledge with team colleagues.Prioritize and manage several open issues at one timeSkill Set Required: Strong phone and verbal communication skills along with active listening. Customer focus and adaptability to different personality types.Ability to work independently and in teamsFocused and result-orientedMust be organized and process-orientedMust be a fast learner and a go getterMust possess problem solving skillsMust be a fast learnerA commitment to excellent customer service.Excellent communication skills.Able to work comfortably in a fast paced environment with minimal supervision.Good English (both written and oral) Should be able to work in shifts Ability to work under pressure and communicate well.Must have indepth knowledge of customs & its processes.Must know about terminals, ports, OGAs, etc.",4 Posts,"Karachi, Pakistan",Intermediate/A-Level,5 Years (of call center experience especially in a pressure oriented campaigns),8-Jul-23,https://www.rozee.pk/pakistan-single-window-service-desk-analyst-l1-karachi-jobs-1388165?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1388165&utm_campaign=ROZEE.PK_job_search
Sales / Marketing Executive,Job Duties & Responsibilities: 1. Must be fully aware of the product and services offered by the company.2. Track sales data and work to meet sale team goals.3. Identify opportunities to enhance and increase the services offered to clients.4. Educate customers regarding services and benefits.5. Maintain excellent relationship with clients through superior customer service.6. Open customer accounts by recording account information and maintaining the updated records.7. Resolve customer complaints with the help of their manager.8. Develop new relationship with potential clients to bring in new business.Required Skills: Strong customer service and technical support skillsExcellent English communication and problem-solving skillsStrong ability to multitask and prioritizeExperience with SAP and other software like CRM is a plusAbility to work effectively in a team-oriented environment Salary + Benefits: Salary (As per the Interview)EOBIProvident FundMonthly Performance based BonusAppreciation based Lunch/Dinner/TripsBi-Annual Increments + Performance-based Increments on Salary,10 Posts,"Lahore, Pakistan",Bachelors,3 Years,7-Jul-23,https://www.rozee.pk/affinityvibez-pvt-ltd-sales-marketing-executive-lahore-jobs-1387695?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1387695&utm_campaign=ROZEE.PK_job_search
Social Media Specialist,"Job Requirement: Pakistan Single Window (PSW) is looking for a dynamic individual responsible for creating and administering content on all social media platforms, such as LinkedIn, Facebook, Instagram, Twitter and TikTok, to build an audience and ensure customer engagement. The Specialist will also monitor site metrics, respond to reader comments, and oversee creative design. This position will require you to promote the brand, service, and product to the associated audiences on social media. Your goal will be to create a new following for market and brand awareness, for which you will need to have the strategic sense required to build or optimize social media strategy. It is also essential that you are aware of social trends and can conduct a thorough media analysis. You will work with our marketing team to help develop brand awareness about our company through social media.ResponsibilitiesPlanningConceptualize, optimize and execute a social media strategy for PSW that aligns with the company’s overall communications objectivesUse data to analyze what’s working, what’s not, and reinforce or refocus key messages accordinglyHelp convert our brand fans into loyal customers with engaging, responsive, responsible, surprising, and captivating social media interactionsWork with the Communications Manager to create and maintain social media content calendar and manage social media spending/boosting planUnderstand the targeted audience for each social channel and create tailored and persuasive content that strikes a chord with the intended audienceAnalyze data and sentiment metrics to create a better understanding of the target audience and other stakeholdersExtract insights and make data-driven recommendations Stay ahead of the curve by keeping up with the latest social media trends, emerging platforms, and best practicesCreativeWrite long- and short-form social media messages that attract new users and engage current usersKeep social media platforms up to date with high-quality content assets that elevate our social media presenceAssess new platforms to reach a broader marketDevelop and launch organic and paid campaigns to build PSW’s following and engagementTechnicalLeverage social media marketing tools such as Buffer, HubSpot or Hootsuite for scheduling, monitoring, listening and analysisUse Canva or Adobe Creative Suite to create static and animated visual assets for social mediaGeneralCollaborate and coordinate with internal teams to ensure promotion of all PSW-related products, modules, and other updates or events.Other relevant tasks assigned by the Communication ManagerQualifications, Experience & Technical Competencies: Bachelors in Communications, Marketing, Business, New Media, or Public RelationsProven working experience in Social Media Marketing or as a Digital Media SpecialistDemonstrable social networking experience and social analytics tools knowledgePositive attitude, detail and customer oriented with good multitasking and organizational abilityExcellent communication skills in English (level C1 and above), and Urdu, with the ability to communicate effectivelyExcellent consulting, writing, editing (photo/video/text), presentation and communication skillsStrong creative thinking, problem-solving abilities, and an eye for visual aesthetics to curate compelling social media postsKnowledge of online marketing and good understanding of major marketing channels",1 Post,"Islamabad, Rawalpindi, Pakistan",Bachelors,2 Years (Proven working experience in Social Media Marketing or as a Digital Media Specialist),8-Jul-23,https://www.rozee.pk/pakistan-single-window-social-media-specialist-islamabad-rawalpindi-jobs-1388181?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1388181&utm_campaign=ROZEE.PK_job_search
Store Incharge / Supervisor,"Keep the record of all transactions which are generated from store end.Keep the record of purchases return and cause of return.Maintain Daily basis data entry system.Keep the record of all products and their shelves life on monthly basis.Maintain the record of supplier and their price quotation.Take inventory on weekly basis.Apply the method of FIFO & LIFO at Store end.Generate timely requisition. Prepare reports of inventory balance, prices, and shortages.Reduce the stock run-out contingencyReconcile the stock with supplier receipts.Reconcile the issuance of all departments.Reconcile the prices with quotation of supplier.Inspect expiries of all stored items and make comprehensive report on it.Share report with QA departmentTo ensure safe keeping both as to quality and quantity of materials.",1 Post,"Islamabad, Pakistan",Bachelors,2 Years,7-Jul-23,https://www.rozee.pk/kitchen-cuisine-store-incharge-supervisor-islamabad-jobs-1387687?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1387687&utm_campaign=ROZEE.PK_job_search
