Title,Type,Price,Location,Baths,Area,Beds,Amenities,Link
Brand New One Kanal House For Sale at Prime Location,House,PKR9.5 Crore,"DHA Defence, Islamabad, Islamabad Capital",6,1 Kanal,6,Built in year: 2023; Parking Spaces: 3; Flooring; Electricity Backup; Floors: 2; ,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_brand_new_one_kanal_house_for_sale_at_prime_location-46440052-339-1.html
25x40 Brand New Triple Storey House Is Available For Sale In D-12 3 CDA transfer Gas Connection Available,House,PKR4 Crore,"D-12, Islamabad, Islamabad Capital",5,4.4 Marla,5,Built in year; Parking Spaces; Double Glazed Windows; Central Air Conditioning; Central Heating; Flooring; Electricity Backup; Waste Disposal; Floors; Other Main Features; Bedrooms: 5; Bathrooms: 5; Servant Quarters; Drawing Room; Dining Room; Kitchens: 1; Study Room; Prayer Room; Powder Room; Gym; Store Rooms; Steam Room; Lounge or Sitting Room; Laundry Room; Other Rooms; Broadband Internet Access; Satellite or Cable TV Ready; Intercom; Other Business and Communication Facilities; Community Lawn or Garden; Community Swimming Pool; Community Gym; First Aid or Medical Centre; Day Care Centre; Kids Play Area; Barbeque Area; Mosque; Community Centre; Other Community Facilities; Lawn or Garden; Swimming Pool; Sauna; Jacuzzi; Other Healthcare and Recreation Facilities; Nearby Schools; Nearby Hospitals; Nearby Shopping Malls; Nearby Restaurants; Distance From Airport (kms); Nearby Public Transport Service; Other Nearby Places; Maintenance Staff; Security Staff; Facilities for Disabled; Other Facilities; ,https://www.zameen.com/Property/d_12_d-12_3_25x40_brand_new_triple_storey_house_is_available_for_sale_in_d-12_3_cda_transfer_gas_connection_available-45169340-3156-1.html
912 Square Feet Flat In I-16 For sale,Flat,PKR50 Lakh,"I-16, Islamabad, Islamabad Capital",2,4.1 Marla,2,Built in year: 0000; Parking Spaces: 00; Flooring; Electricity Backup; Other Main Features; Bedrooms: 3; Bathrooms: 3; Other Rooms; Other Business and Communication Facilities; Other Community Facilities; Other Healthcare and Recreation Facilities; Nearby Schools; Nearby Hospitals; Nearby Shopping Malls; Nearby Restaurants; Distance From Airport (kms); Nearby Public Transport Service; Other Nearby Places; Other Facilities; ,https://www.zameen.com/Property/islamabad_i-16_912_square_feet_flat_in_i-16_for_sale-46195077-449-1.html
Park view city Islamabad 5 Marla villas Available on easy Monthly Installments,House,PKR2.6 Crore,"Park View City, Islamabad, Islamabad Capital",5,5 Marla,5,Built in year: 2023; Parking Spaces; Double Glazed Windows; Central Air Conditioning; Central Heating; Flooring; Electricity Backup; Waste Disposal; Floors: 2; Other Main Features; Furnished; Bedrooms: 5; Bathrooms: 5; Servant Quarters; Drawing Room; Dining Room; Kitchens: 1; Study Room; Powder Room; Store Rooms; Steam Room; Lounge or Sitting Room; Laundry Room; Other Rooms; Broadband Internet Access; Satellite or Cable TV Ready; Other Business and Communication Facilities; Community Lawn or Garden; Community Swimming Pool; Community Gym; First Aid or Medical Centre; Day Care Centre; Kids Play Area; Barbeque Area; Mosque; Community Centre; Other Community Facilities; Lawn or Garden; Swimming Pool; Sauna; Jacuzzi; Other Healthcare and Recreation Facilities; Nearby Schools; Nearby Hospitals; Nearby Shopping Malls; Nearby Restaurants; Distance From Airport (kms); Nearby Public Transport Service; Other Nearby Places; ,https://www.zameen.com/Property/islamabad_park_view_city_park_view_city_islamabad_5_marla_villas_available_on_easy_monthly_installments-45720916-10933-1.html
"Ideal Prime Location 10 Marla House has landed on market in D-12, D-12",House,PKR13 Crore,"D-12, Islamabad, Islamabad Capital",6,10 Marla,6,Built in year: 2023; Parking Spaces: 3; Double Glazed Windows; Flooring; Electricity Backup; Waste Disposal; Other Main Features; Bedrooms: 6; Bathrooms: 7; Servant Quarters: 1; Drawing Room; Dining Room; Kitchens: 1; Powder Room; Store Rooms: 1; Lounge or Sitting Room; Broadband Internet Access; Satellite or Cable TV Ready; Intercom; Other Business and Communication Facilities; Community Lawn or Garden; Community Swimming Pool; Community Gym; First Aid or Medical Centre; Day Care Centre; Kids Play Area; Barbeque Area; Mosque; Community Centre; Other Community Facilities; Other Healthcare and Recreation Facilities; Nearby Schools; Nearby Hospitals; Nearby Shopping Malls; Nearby Restaurants; Distance From Airport (kms); Nearby Public Transport Service; Other Nearby Places; Maintenance Staff; Security Staff; Facilities for Disabled; Other Facilities; ,https://www.zameen.com/Property/islamabad_d-12_ideal_prime_location_10_marla_house_has_landed_on_market_in_d-12_d-12-46369697-160-1.html
12 Marla House In G13,House,PKR9.5 Crore,"G-13, Islamabad, Islamabad Capital",6,12 Marla,7,Flooring; ,https://www.zameen.com/Property/islamabad_g-13_12_marla_house_in_g13-45768792-330-1.html
2 Bed 2 Bath Flat For Sale First Floor Pha G-10,Flat,PKR2.15 Crore,"G-10, Islamabad, Islamabad Capital",2,4 Marla,2,Flooring; Floor; Bedrooms: 2; Bathrooms: 2; Kitchens: 1; Lounge or Sitting Room; Other Rooms; Broadband Internet Access; Satellite or Cable TV Ready; ATM Machines; Community Gym; Day Care Centre; Kids Play Area; Barbeque Area; Mosque; Community Centre; Nearby Hospitals; Nearby Restaurants; Other Nearby Places; ,https://www.zameen.com/Property/islamabad_g-10_2_bed_2_bath_flat_for_sale_first_floor_pha_g-10-46318278-167-1.html
2 Bedroom Apartment Available In Eighteen - Golf Course View,Flat,PKR4.39 Crore,"Kashmir Highway, Islamabad, Islamabad Capital",2,6.5 Marla,2,Built in year: 2023; Parking Spaces; Lobby in Building; Double Glazed Windows; Central Air Conditioning; Central Heating; Flooring; Electricity Backup; Waste Disposal; Floor; Floors in Building: 5; Elevators; Service Elevators in Building; Other Main Features; Bedrooms: 2; Bathrooms: 21; Servant Quarters: 1; Drawing Room; Dining Room; Kitchens: 1; Study Room; Prayer Room; Powder Room; Gym; Store Rooms: 1; Steam Room; Lounge or Sitting Room; Laundry Room; Broadband Internet Access; Satellite or Cable TV Ready; Business Center or Media Room in Building; Conference Room in Building; Intercom; ATM Machines; Community Lawn or Garden; Community Swimming Pool; Community Gym; First Aid or Medical Centre; Day Care Centre; Kids Play Area; Barbeque Area; Mosque; Community Centre; Sauna; Jacuzzi; Nearby Schools; Nearby Hospitals; Nearby Shopping Malls; Nearby Restaurants; Distance From Airport (kms); ,https://www.zameen.com/Property/kashmir_highway_eighteen_2_bedroom_apartment_available_in_eighteen_-_golf_course_view-46322245-12602-1.html
3 Bedroom Apartment - The finest apartment available in Eighteen Islamabad with scenic view of the Golf Course,Flat,PKR6.44 Crore,"Kashmir Highway, Islamabad, Islamabad Capital",3,9.5 Marla,3,Built in year: 2023; Parking Spaces; Lobby in Building; Double Glazed Windows; Central Air Conditioning; Central Heating; Flooring; Electricity Backup; Waste Disposal; Floor; Floors in Building: 5; Elevators; Service Elevators in Building; Other Main Features; Furnished; Bedrooms: 3; Bathrooms: 3; Servant Quarters: 1; Drawing Room; Dining Room; Kitchens: 1; Study Room; Prayer Room; Powder Room; Gym; Store Rooms: 1; Steam Room; Lounge or Sitting Room; Laundry Room; Broadband Internet Access; Satellite or Cable TV Ready; Business Center or Media Room in Building; Conference Room in Building; Intercom; ATM Machines; Community Lawn or Garden; Community Swimming Pool; Community Gym; First Aid or Medical Centre; Day Care Centre; Kids Play Area; Barbeque Area; Mosque; Community Centre; Sauna; Jacuzzi; Nearby Schools; Nearby Hospitals; Nearby Shopping Malls; Nearby Restaurants; Distance From Airport (kms); Nearby Public Transport Service; ,https://www.zameen.com/Property/kashmir_highway_eighteen_3_bedroom_apartment_-_the_finest_apartment_available_in_eighteen_islamabad_with_scenic_view_of_the_golf_course-46322767-12602-1.html
Askari Tower 3 Brand- New Apartment For Sale In Dha Phase 3 Islamabad,Flat,PKR3.3 Crore,"DHA Defence, Islamabad, Islamabad Capital",3,11.3 Marla,3,Built in year: 2023; Parking Spaces: 1; Flooring; Elevators: 01; Bedrooms: 3; Bathrooms: 3; Servant Quarters: 1; Drawing Room; Dining Room; Kitchens: 1; Lounge or Sitting Room; Other Rooms; Nearby Shopping Malls; Nearby Public Transport Service; ,https://www.zameen.com/Property/dha_defence_dha_defence_phase_3_askari_tower_3_brand-_new_apartment_for_sale_in_dha_phase_3_islamabad-46231900-8412-1.html
